,pair,median,mean,std,range
0,0,1.482956706665324,8.82673685835223,36.78650261207756,530.5344626687056
1,1,8.413507236923511,14.427034106177425,37.35307963281702,528.525291235257
2,2,0.982468597377135,1.835866451172013,45.79811259909856,639.3485573025243
3,3,-0.24447479195365168,-2.082122129279587,40.36249393540276,657.3383858031882
4,4,0.8576780373982822,7.5209960514436975,34.660070877872165,605.1080094593208
5,5,-10.08744549792068,-21.806769624548803,52.949619528912955,821.0394739867081
